iter	Passed	Remaining
0	16	16665
1	30	15142
2	45	14988
3	59	14879
4	73	14582
5	85	14120
6	105	14984
7	118	14704
8	130	14372
9	142	14121
10	154	13879
11	166	13678
12	178	13520
13	192	13552
14	206	13550
15	219	13488
16	231	13404
17	243	13297
18	255	13188
19	268	13158
20	280	13084
21	292	13018
22	306	13014
23	322	13095
24	335	13087
25	351	13159
26	364	13140
27	377	13088
28	389	13027
29	400	12950
30	416	13028
31	429	12992
32	442	12957
33	453	12887
34	465	12821
35	477	12775
36	489	12742
37	501	12694
38	516	12726
39	530	12740
40	546	12791
41	559	12761
42	572	12733
43	584	12690
44	597	12671
45	612	12695
46	630	12774
47	642	12734
48	654	12697
49	666	12671
50	679	12635
51	692	12616
52	704	12581
53	716	12554
54	729	12527
55	740	12488
56	756	12510
57	770	12516
58	782	12485
59	795	12463
60	807	12424
61	819	12392
62	834	12406
63	848	12408
64	860	12381
65	872	12344
66	884	12321
67	896	12283
68	908	12252
69	920	12230
70	932	12207
71	944	12175
72	957	12156
73	972	12170
74	986	12163
75	998	12136
76	1009	12102
77	1022	12082
78	1034	12059
79	1047	12051
80	1065	12084
81	1080	12093
82	1095	12108
83	1107	12077
84	1123	12089
85	1135	12062
86	1146	12033
87	1159	12012
88	1171	11991
89	1183	11970
90	1200	11988
91	1213	11972
92	1225	11948
93	1236	11916
94	1250	11910
95	1266	11923
96	1278	11904
97	1292	11895
98	1305	11885
99	1320	11881
100	1333	11870
101	1346	11852
102	1358	11833
103	1371	11815
104	1383	11789
105	1397	11783
106	1411	11783
107	1423	11760
108	1435	11735
109	1448	11722
110	1464	11730
111	1478	11719
112	1492	11712
113	1505	11698
114	1517	11678
115	1529	11655
116	1541	11636
117	1554	11620
118	1566	11597
119	1578	11577
120	1590	11554
121	1603	11540
122	1620	11557
123	1634	11544
124	1646	11522
125	1658	11505
126	1670	11486
127	1686	11487
128	1697	11462
129	1709	11443
130	1722	11423
131	1735	11410
132	1749	11407
133	1765	11409
134	1778	11397
135	1791	11381
136	1804	11365
137	1819	11367
138	1832	11352
139	1846	11341
140	1861	11340
141	1871	11310
142	1887	11309
143	1905	11326
144	1918	11310
145	1929	11288
146	1942	11269
147	1954	11253
148	1967	11237
149	1979	11216
150	1993	11205
151	2005	11186
152	2017	11169
153	2032	11166
154	2045	11149
155	2057	11130
156	2068	11107
157	2080	11087
158	2096	11087
159	2112	11089
160	2125	11074
161	2139	11065
162	2152	11050
163	2168	11054
164	2180	11036
165	2192	11014
166	2204	10997
167	2217	10979
168	2234	10987
169	2247	10974
170	2259	10952
171	2271	10933
172	2284	10921
173	2300	10921
174	2314	10909
175	2326	10893
176	2337	10869
177	2350	10853
178	2361	10831
179	2373	10810
180	2385	10794
181	2398	10779
182	2409	10755
183	2424	10752
184	2439	10745
185	2459	10765
186	2472	10750
187	2485	10733
188	2501	10734
189	2518	10736
190	2534	10734
191	2549	10728
192	2563	10718
193	2579	10716
194	2594	10710
195	2606	10693
196	2618	10674
197	2631	10657
198	2642	10638
199	2655	10620
200	2667	10603
201	2682	10596
202	2696	10587
203	2708	10569
204	2720	10551
205	2732	10531
206	2745	10516
207	2757	10498
208	2768	10478
209	2780	10460
210	2793	10447
211	2806	10430
212	2818	10413
213	2829	10392
214	2840	10371
215	2852	10352
216	2865	10338
217	2887	10359
218	2903	10353
219	2918	10346
220	2933	10338
221	2944	10318
222	2955	10297
223	2966	10277
224	2978	10259
225	2991	10244
226	3003	10226
227	3014	10207
228	3028	10197
229	3043	10190
230	3062	10193
231	3075	10182
232	3087	10162
233	3099	10146
234	3111	10127
235	3126	10122
236	3140	10109
237	3152	10094
238	3165	10079
239	3177	10062
240	3189	10045
241	3202	10029
242	3213	10010
243	3232	10014
244	3243	9995
245	3254	9975
246	3269	9967
247	3282	9954
248	3298	9948
249	3318	9956
250	3332	9943
251	3349	9941
252	3362	9929
253	3378	9921
254	3391	9907
255	3403	9890
256	3416	9878
257	3427	9858
258	3441	9845
259	3457	9839
260	3470	9826
261	3482	9809
262	3493	9790
263	3506	9775
264	3518	9759
265	3530	9743
266	3545	9734
267	3559	9722
268	3574	9712
269	3586	9695
270	3598	9679
271	3613	9672
272	3626	9658
273	3638	9639
274	3649	9622
275	3662	9606
276	3673	9589
277	3685	9570
278	3697	9555
279	3710	9540
280	3722	9524
281	3734	9507
282	3745	9490
283	3759	9478
284	3774	9470
285	3787	9455
286	3799	9439
287	3812	9424
288	3823	9405
289	3834	9387
290	3847	9373
291	3859	9357
292	3872	9344
293	3886	9332
294	3900	9320
295	3912	9306
296	3924	9289
297	3936	9272
298	3949	9258
299	3965	9253
300	3983	9250
301	3997	9238
302	4009	9223
303	4020	9205
304	4033	9190
305	4044	9172
306	4056	9156
307	4069	9142
308	4080	9125
309	4092	9108
310	4105	9095
311	4117	9078
312	4128	9061
313	4140	9045
314	4152	9029
315	4165	9015
316	4176	8998
317	4197	9001
318	4209	8985
319	4221	8970
320	4234	8956
321	4248	8945
322	4265	8939
323	4281	8932
324	4296	8924
325	4313	8918
326	4327	8906
327	4343	8899
328	4360	8893
329	4377	8887
330	4393	8879
331	4410	8873
332	4430	8874
333	4447	8867
334	4465	8864
335	4485	8863
336	4502	8858
337	4525	8863
338	4548	8868
339	4574	8880
340	4593	8877
341	4617	8884
342	4636	8881
343	4650	8868
344	4665	8857
345	4702	8888
346	4720	8883
347	4733	8867
348	4743	8848
349	4754	8829
350	4765	8810
351	4775	8791
352	4786	8773
353	4798	8756
354	4810	8739
355	4825	8728
356	4841	8719
357	4857	8710
358	4872	8699
359	4893	8699
360	4908	8688
361	4923	8677
362	4937	8663
363	4950	8649
364	4963	8635
365	4978	8623
366	4991	8609
367	5003	8593
368	5018	8581
369	5033	8569
370	5049	8561
371	5062	8547
372	5075	8531
373	5090	8520
374	5101	8501
375	5116	8491
376	5128	8475
377	5141	8460
378	5151	8441
379	5162	8423
380	5176	8410
381	5191	8399
382	5207	8389
383	5223	8380
384	5241	8372
385	5256	8360
386	5270	8347
387	5283	8333
388	5296	8318
389	5308	8303
390	5322	8290
391	5335	8275
392	5348	8261
393	5361	8246
394	5376	8234
395	5390	8221
396	5402	8206
397	5413	8187
398	5423	8168
399	5433	8150
400	5446	8135
401	5458	8120
402	5471	8104
403	5485	8092
404	5495	8072
405	5505	8054
406	5515	8035
407	5524	8016
408	5535	7998
409	5545	7980
410	5555	7961
411	5565	7942
412	5576	7926
413	5587	7909
414	5601	7896
415	5613	7880
416	5623	7862
417	5633	7844
418	5643	7825
419	5653	7806
420	5662	7787
421	5672	7769
422	5683	7753
423	5696	7737
424	5707	7721
425	5718	7704
426	5730	7690
427	5744	7677
428	5762	7669
429	5788	7672
430	5818	7682
431	5859	7704
432	5878	7697
433	5896	7689
434	5913	7680
435	5973	7726
436	5990	7717
437	6009	7710
438	6024	7698
439	6042	7690
440	6070	7694
441	6088	7686
442	6106	7678
443	6120	7664
444	6138	7656
445	6157	7648
446	6187	7655
447	6203	7643
448	6217	7629
449	6229	7613
450	6249	7607
451	6311	7651
452	6351	7669
453	6382	7675
454	6399	7665
455	6417	7656
456	6437	7648
457	6463	7649
458	6483	7641
459	6502	7633
460	6520	7623
461	6534	7608
462	6549	7595
463	6563	7582
464	6579	7570
465	6592	7554
466	6605	7539
467	6619	7524
468	6640	7518
469	6656	7506
470	6677	7499
471	6696	7491
472	6712	7478
473	6729	7467
474	6762	7474
475	6797	7482
476	6823	7481
477	6843	7473
478	6859	7460
479	6874	7447
480	6891	7435
481	6902	7418
482	6915	7402
483	6929	7387
484	6952	7382
485	6971	7372
486	6987	7361
487	7000	7345
488	7014	7330
489	7030	7317
490	7044	7302
491	7057	7286
492	7074	7275
493	7095	7267
494	7115	7258
495	7140	7255
496	7155	7242
497	7181	7239
498	7201	7230
499	7222	7222
500	7248	7219
501	7279	7221
502	7307	7220
503	7337	7221
504	7398	7251
505	7447	7271
506	7476	7269
507	7506	7270
508	7541	7274
509	7599	7301
510	7640	7311
511	7657	7298
512	7684	7295
513	7722	7302
514	7752	7301
515	7777	7295
516	7807	7294
517	7827	7283
518	7848	7273
519	7871	7265
520	7897	7261
521	7919	7251
522	7938	7240
523	7958	7229
524	7975	7215
525	7999	7208
526	8021	7199
527	8041	7188
528	8077	7192
529	8124	7204
530	8160	7207
531	8184	7199
532	8203	7187
533	8221	7174
534	8240	7161
535	8268	7158
536	8286	7144
537	8302	7129
538	8314	7111
539	8327	7093
540	8339	7075
541	8354	7059
542	8370	7044
543	8386	7029
544	8424	7033
545	8452	7028
546	8469	7014
547	8487	7000
548	8502	6984
549	8521	6972
